+------+----------+-----------------+---------+----------------+----+---------+---------+-------------+-------+----+------------+------------+-----------------+-----------------------------+----------+---------+---------------------------+
|dateID|date      |month_weekday_int|day_str  |week_weekday_int|week|month_int|month_str|month_firstOf|quarter|year|year_day_int|is_leap_year|date_str_abr     |date_str_full                |unix_ts   |isHoliday|holiday                    |
|62    |2021-03-03|3                |Wednesday|4               |9   |3        |March    |2021-03-01   |1      |2021|62          |0           |Wed 3rd Mar 2021 |Wednesday 3rd March 2021     |1614754800|0        |NULL                       |
|63    |2021-03-04|4                |Thursday |5               |9   |3        |March    |2021-03-01   |1      |2021|63          |0           |Thu 4th Mar 2021 |Thursday 4th March 2021      |1614841200|0        |NULL                       |
|64    |2021-03-05|5                |Friday   |6               |9   |3        |March    |2021-03-01   |1      |2021|64          |0           |Fri 5th Mar 2021 |Friday 5th March 2021        |1614927600|0        |NULL                       |
|65    |2021-03-06|6                |Saturday |7               |9   |3        |March    |2021-03-01   |1      |2021|65          |0           |Sat 6th Mar 2021 |Saturday 6th March 2021      |1615014000|0        |NULL                       |
|66    |2021-03-07|7                |Sunday   |1               |10  |3        |March    |2021-03-01   |1      |2021|66          |0           |Sun 7th Mar 2021 |Sunday 7th March 2021        |1615100400|0        |NULL                       |
|67    |2021-03-08|8                |Monday   |2               |10  |3        |March    |2021-03-01   |1      |2021|67          |0           |Mon 8th Mar 2021 |Monday 8th March 2021        |1615186800|0        |NULL                       |
|68    |2021-03-09|9                |Tuesday  |3               |10  |3        |March    |2021-03-01   |1      |2021|68          |0           |Tue 9th Mar 2021 |Tuesday 9th March 2021       |1615273200|0        |NULL                       |
|69    |2021-03-10|10               |Wednesday|4               |10  |3        |March    |2021-03-01   |1      |2021|69          |0           |Wed 10th Mar 2021|Wednesday 10th March 2021    |1615359600|0        |NULL                       |
|70    |2021-03-11|11               |Thursday |5               |10  |3        |March    |2021-03-01   |1      |2021|70          |0           |Thu 11th Mar 2021|Thursday 11th March 2021     |1615446000|0        |NULL                       |
|71    |2021-03-12|12               |Friday   |6               |10  |3        |March    |2021-03-01   |1      |2021|71          |0           |Fri 12th Mar 2021|Friday 12th March 2021       |1615532400|0        |NULL                       |
|72    |2021-03-13|13               |Saturday |7               |10  |3        |March    |2021-03-01   |1      |2021|72          |0           |Sat 13th Mar 2021|Saturday 13th March 2021     |1615618800|0        |NULL                       |
|73    |2021-03-14|14               |Sunday   |1               |11  |3        |March    |2021-03-01   |1      |2021|73          |0           |Sun 14th Mar 2021|Sunday 14th March 2021       |1615705200|0        |NULL                       |
|74    |2021-03-15|15               |Monday   |2               |11  |3        |March    |2021-03-01   |1      |2021|74          |0           |Mon 15th Mar 2021|Monday 15th March 2021       |1615788000|0        |NULL                       |
|75    |2021-03-16|16               |Tuesday  |3               |11  |3        |March    |2021-03-01   |1      |2021|75          |0           |Tue 16th Mar 2021|Tuesday 16th March 2021      |1615874400|0        |NULL                       |
|76    |2021-03-17|17               |Wednesday|4               |11  |3        |March    |2021-03-01   |1      |2021|76          |0           |Wed 17th Mar 2021|Wednesday 17th March 2021    |1615960800|0        |NULL                       |
|77    |2021-03-18|18               |Thursday |5               |11  |3        |March    |2021-03-01   |1      |2021|77          |0           |Thu 18th Mar 2021|Thursday 18th March 2021     |1616047200|0        |NULL                       |
|78    |2021-03-19|19               |Friday   |6               |11  |3        |March    |2021-03-01   |1      |2021|78          |0           |Fri 19th Mar 2021|Friday 19th March 2021       |1616133600|0        |NULL                       |
|79    |2021-03-20|20               |Saturday |7               |11  |3        |March    |2021-03-01   |1      |2021|79          |0           |Sat 20th Mar 2021|Saturday 20th March 2021     |1616220000|0        |NULL                       |
|80    |2021-03-21|21               |Sunday   |1               |12  |3        |March    |2021-03-01   |1      |2021|80          |0           |Sun 21st Mar 2021|Sunday 21st March 2021       |1616306400|0        |NULL                       |
|81    |2021-03-22|22               |Monday   |2               |12  |3        |March    |2021-03-01   |1      |2021|81          |0           |Mon 22nd Mar 2021|Monday 22nd March 2021       |1616392800|0        |NULL                       |
|82    |2021-03-23|23               |Tuesday  |3               |12  |3        |March    |2021-03-01   |1      |2021|82          |0           |Tue 23rd Mar 2021|Tuesday 23rd March 2021      |1616479200|0        |NULL                       |
|83    |2021-03-24|24               |Wednesday|4               |12  |3        |March    |2021-03-01   |1      |2021|83          |0           |Wed 24th Mar 2021|Wednesday 24th March 2021    |1616565600|0        |NULL                       |
|84    |2021-03-25|25               |Thursday |5               |12  |3        |March    |2021-03-01   |1      |2021|84          |0           |Thu 25th Mar 2021|Thursday 25th March 2021     |1616652000|0        |NULL                       |
|85    |2021-03-26|26               |Friday   |6               |12  |3        |March    |2021-03-01   |1      |2021|85          |0           |Fri 26th Mar 2021|Friday 26th March 2021       |1616738400|0        |NULL                       |
|86    |2021-03-27|27               |Saturday |7               |12  |3        |March    |2021-03-01   |1      |2021|86          |0           |Sat 27th Mar 2021|Saturday 27th March 2021     |1616824800|0        |NULL                       |
|87    |2021-03-28|28               |Sunday   |1               |13  |3        |March    |2021-03-01   |1      |2021|87          |0           |Sun 28th Mar 2021|Sunday 28th March 2021       |1616911200|0        |NULL                       |
|88    |2021-03-29|29               |Monday   |2               |13  |3        |March    |2021-03-01   |1      |2021|88          |0           |Mon 29th Mar 2021|Monday 29th March 2021       |1616997600|0        |NULL                       |
